source,field,value,count
main_matrix,category,body,20
main_matrix,category,climate,20
main_matrix,category,motion,10
main_matrix,category,media,10
main_matrix,category,swrc,9
main_matrix,category,lights,7
main_matrix,category,navigation,6
main_matrix,category,safety,6
main_matrix,category,settings,6
main_matrix,category,diagnostics,5
main_matrix,category,comfort,3
main_matrix,category,parking,3
main_matrix,category,amp,2
main_matrix,category,experimental,2
main_matrix,status,dbc_candidate,91
main_matrix,status,seen_in_log,8
main_matrix,status,blocked,5
main_matrix,status,confirmed_rx,1
main_matrix,status,disabled,1
main_matrix,status,seen_constant_zero_in_log,1
main_matrix,status,best_current_candidate,1
main_matrix,status,baseline_only,1
main_matrix,implementation_type,read_only,56
main_matrix,implementation_type,usb_to_can,27
main_matrix,implementation_type,mirror_to_hu,11
main_matrix,implementation_type,uart_bridge,9
main_matrix,implementation_type,blocked,5
main_matrix,implementation_type,filter_only,1
main_matrix,direction,car_to_adapter,70
main_matrix,direction,adapter_to_car,29
main_matrix,direction,hu_to_gateway,2
main_matrix,direction,gateway_to_hu,2
main_matrix,direction,telematics_to_gateway,2
main_matrix,direction,unknown,1
main_matrix,direction,cluster_to_gateway,1
main_matrix,direction,gateway_to_cluster,1
main_matrix,direction,external_tester_to_ecu,1
filled_table,category,body,20
filled_table,category,climate,18
filled_table,category,motion,10
filled_table,category,media,10
filled_table,category,swrc,9
filled_table,category,lights,7
filled_table,category,navigation,6
filled_table,category,safety,6
filled_table,category,settings,6
filled_table,category,diagnostics,5
filled_table,category,comfort,3
filled_table,category,parking,3
filled_table,category,amp,2
filled_table,category,experimental,2
filled_table,status,seen_in_log,46
filled_table,status,firmware_apk_candidate,23
filled_table,status,dbc_candidate,16
filled_table,status,seen_constant,13
filled_table,status,blocked,5
filled_table,status,disabled,1
filled_table,status,seen_constant_zero_in_log,1
filled_table,status,best_current_candidate,1
filled_table,status,baseline_only,1
filled_table,implementation_type,read_only,54
filled_table,implementation_type,usb_to_can,27
filled_table,implementation_type,mirror_to_hu,11
filled_table,implementation_type,uart_bridge,9
filled_table,implementation_type,blocked,5
filled_table,implementation_type,filter_only,1
filled_table,direction,car_to_adapter,68
filled_table,direction,adapter_to_car,29
filled_table,direction,hu_to_gateway,2
filled_table,direction,gateway_to_hu,2
filled_table,direction,telematics_to_gateway,2
filled_table,direction,unknown,1
filled_table,direction,cluster_to_gateway,1
filled_table,direction,gateway_to_cluster,1
filled_table,direction,external_tester_to_ecu,1
