constant,profile_id
CAR_439_CXW_Kairui_K50,8847799
CAR_439_HC_Qiya_KaiZunK7,4719031
CAR_443_WC2_XianDai_All_07Shengda,6422971
CAR_443_WC2_XianDai_All_12SORENTO,6488507
CAR_443_WC2_XianDai_All_15IX45_H,3015099
CAR_443_WC2_XianDai_All_16K5,2752955
CAR_443_WC2_XianDai_All_16KX5,2818491
CAR_443_WC2_XianDai_All_17KX7,3080635
CAR_443_WC2_XianDai_All_17KX7_H,3146171
CAR_443_WC2_XianDai_All_17Sonata9,2949563
CAR_443_WC2_XianDai_All_18Encino,3342779
CAR_443_WC2_XianDai_All_18OPTIMA,15073723
CAR_443_WC2_XianDai_All_18Sonata9_L,3277243
CAR_443_WC2_XianDai_All_18Sonata9_M,3211707
CAR_443_WC2_XianDai_All_18Sportage,3408315
CAR_443_WC2_XianDai_All_19Shengda,3473851
CAR_443_WC2_XianDai_All_19Shengda_H,3867067
CAR_443_WC2_XianDai_All_22H1Starex,14483899
CAR_443_WC2_XianDai_All_22H1Starex_H,14549435
CAR_443_WC2_XianDai_All_22NIRO,10158523
CAR_443_WC2_XianDai_All_IX35,1966523
CAR_443_WC2_XianDai_All_IX35_H,2032059
CAR_443_WC2_XianDai_All_IX45,2097595
CAR_443_WC2_XianDai_All_IX45_H,2163131
CAR_443_WC2_XianDai_All_KX5,9961915
CAR_443_WC2_XianDai_All_Lingdong,2687419
CAR_443_WC2_XianDai_All_Mingtu,2490811
CAR_443_WC2_XianDai_All_Mingtu_H,2556347
CAR_443_WC2_XianDai_All_Santafe,10092987
CAR_443_WC2_XianDai_All_Sonata8,2228667
CAR_443_WC2_XianDai_All_Sonata8_H,2294203
CAR_443_WC2_XianDai_All_Sonata9,2359739
CAR_443_WC2_XianDai_All_Sonata9_H,2425275
CAR_443_WC2_XianDai_All_Suolantuo,2884027
CAR_443_WC2_XianDai_All_TuSheng,2621883
CAR_443_WC2_XianDai_All_VERACRUZ,10027451
CAR_BNR_ShuPing_Sonata8,393571
CAR_BNR_ShuPing_Sonata8_AMP,459107
CAR_BNR_ShuPing_Sonata8_AMP_KEEPAIRPANEL,524643
CAR_CYT_SHuPing_SoNaTa8,196776
CAR_CYT_SHuPing_SoNaTa8_D,327848
CAR_CYT_SHuPing_SoNaTa8_H,262312
CAR_CYT_ShuPing_QiYaK3,423
CAR_CYT_ShuPing_QiYaK3_H,65959
CAR_DJ_XIANDAI_Sorento,1442147
CAR_DJ_XIANDAI_Sorento_H,2031971
CAR_RZC3_16_QiYaK5,362
CAR_RZC3_Qiya_15Grandeur,917866
CAR_RZC3_Qiya_16Cadenza,852330
CAR_RZC3_Qiya_16K3,1048938
CAR_RZC3_Qiya_17KX7,1114474
CAR_RZC3_Qiya_17KX_CORSS,1180010
CAR_RZC3_SoNaTa9,249
CAR_RZC3_SoNaTa9_H,131321
CAR_RZC3_XianDai_15I40,786794
CAR_RZC3_XianDai_15Veloster,721258
CAR_RZC3_XianDai_AZERA_22,1573311
CAR_RZC3_XianDai_AZERA_22_H,2097599
CAR_RZC3_XianDai_AZERA_22_M,1835455
CAR_RZC3_XianDai_CARNIVAL_19,1704298
CAR_RZC3_XianDai_CEED_11,1900906
CAR_RZC3_XianDai_CRETA_22,1638847
CAR_RZC3_XianDai_CRETA_22_H,2163135
CAR_RZC3_XianDai_CRETA_22_M,1900991
CAR_RZC3_XianDai_I30_15,1835370
CAR_RZC3_XianDai_OPTIMA_17,2294207
CAR_RZC3_XianDai_OPTIMA_17_H,2359743
CAR_RZC3_XianDai_Qiya_10_15IX35,393578
CAR_RZC3_XianDai_Qiya_15Sonata8,983402
CAR_RZC3_XianDai_Qiya_18Sonata9_H,328042
CAR_RZC3_XianDai_Qiya_18Sonata9_L,196970
CAR_RZC3_XianDai_Qiya_18Sonata9_M,262506
CAR_RZC3_XianDai_Qiya_19FeiSiTa,459114
CAR_RZC3_XianDai_Qiya_19FeiSiTa_L,655722
CAR_RZC3_XianDai_Qiya_19K3,721343
CAR_RZC3_XianDai_Qiya_19K3_E,852415
CAR_RZC3_XianDai_Qiya_19K5_E,917951
CAR_RZC3_XianDai_Qiya_19KX5,590271
CAR_RZC3_XianDai_Qiya_19KX5_H,655807
CAR_RZC3_XianDai_Qiya_19Tusheng,459199
CAR_RZC3_XianDai_Qiya_19Tusheng_H,524735
CAR_RZC3_XianDai_Qiya_All,131434
CAR_RZC3_XianDai_Qiya_All_H,524650
CAR_RZC3_XianDai_Qiya_IX35_10,1769834
CAR_RZC3_XianDai_Qiya_KX3,1114559
CAR_RZC3_XianDai_Qiya_KX3_H,1180095
CAR_RZC3_XianDai_Qiya_Sonata9H_E,1049023
CAR_RZC3_XianDai_Qiya_Sonata9M_E,983487
CAR_RZC3_XianDai_Qiya_Sonata9_E,786879
CAR_RZC3_XianDai_Rohens,590186
CAR_RZC3_XianDai_Rohens_Coupe,1245546
CAR_RZC3_XianDai_Rohens_Coupe_12,1311082
CAR_RZC3_XianDai_Rohens_Coupe_12_H,1376618
CAR_RZC3_XianDai_SANTAFE_17,2425279
CAR_RZC3_XianDai_SANTAFE_17_H,2490815
CAR_RZC3_XianDai_SONATA_21,1507775
CAR_RZC3_XianDai_SONATA_21_H,2032063
CAR_RZC3_XianDai_SONATA_21_M,1769919
CAR_RZC3_XianDai_SOUL_19,1638762
CAR_RZC3_XianDai_SPORTAGE_16,1442154
CAR_RZC3_XianDai_STARGAZER_22,1704383
CAR_RZC3_XianDai_STARGAZER_22_H,2228671
CAR_RZC3_XianDai_STARGAZER_22_M,1966527
CAR_RZC3_XianDai_Sorento_21,1311167
CAR_RZC3_XianDai_Sorento_21_H,1376703
CAR_RZC3_XianDai_Sorento_21_M,1442239
CAR_RZC3_XiandaiIX35_H,131209
CAR_RZC3_XiandaiIX35_L,137
CAR_RZC3_XiandaiIX45,102
CAR_RZC_16_QiYaKX5,393
CAR_RZC_16_QiYaKaiShen,262537
CAR_WC2_16_QiYaK5,351
CAR_WC_16_QiYaKX5,394
CAR_WC_16_QiYaKX5_WITH_CYT_SHUPING_K3AIR,262538
CAR_WC_16_QiYaLINGDONG,65930
CAR_XBS_XP1_16QIYA_K5,389
CAR_XP1_18SoNaTa9_H,786698
CAR_XP1_18SoNaTa9_L,655626
CAR_XP1_18SoNaTa9_M,721162
CAR_XP1_19SoNaTa9,852234
CAR_XP1_SoNaTa9,266
CAR_XP1_SoNaTa9_AMP,131338
CAR_XP1_SoNaTa_L,168
CAR_XP_16QiYaKX5,1704291
CAR_XP_16QiYaKX5_H,1835363
CAR_XP_16QiYaKX5_H_Noamp,2228579
CAR_XP_16QiYaKX5_M,1769827
CAR_XP_18QiYaK5,1507683
CAR_XP_18QiYaK5_H,1638755
CAR_XP_18QiYaK5_M,1573219
CAR_XP_19QiYa_Sportage_H,1966435
CAR_XP_19QiYa_Sportage_L,2097507
CAR_XP_19QiYa_Sportage_M,1900899
CAR_XP_QIYA_SoLanTuo_L,251
CAR_XP_QiYaK5,355
CAR_XP_QiYaK5_H,131427
CAR_XP_QiYaK5_M,65891
